"province";"chef_lieu"
"Bas-Uele";"Buta"
"Équateur";"Mbandaka"
"Haut-Katanga";"Lubumbashi"
"Haut-Lomami";"Kamina"
"Haut-Uele";"Isiro"
"Ituri";"Bunia"
"Kasaï";"Tshikapa"
"Kasaï-Central";"Kananga"
"Kasaï-Oriental";"Mbuji-Mayi"
"Kinshasa";"Kinshasa"
"Kongo-Central";"Matadi"
"Kwango";"Kenge"
"Kwilu";"Kikwit"
"Lomami";"Kabinda"
"Lualaba";"Kolwezi"
"Mai-Ndombe";"Inongo"
"Maniema";"Kindu"
"Mongala";"Lisala"
"Nord-Kivu";"Goma"
"Nord-Ubangi";"Gbadolite"
"Sankuru";"Lusambo"
"Sud-Kivu";"Bukavu"
"Sud-Ubangi";"Gemena"
"Tanganyika";"Kalemie"
"Tshopo";"Kisangani"
"Tshuapa";"Boende"
